Aditya Birla Idea Payments Bank Ltd
Airtel Payments Bank Ltd
Andhra Pradesh GVB
Andhra Pragathi Grameena Bank
Arunachal Pradesh Rural Bank
Aryavart Bank
Assam Gramin Vikash Bank
Au Small Finance Bank Ltd
Axis Bank Ltd
Bandhan Bank Ltd
Bangiya Gramin Vikash Bank
Bank of Baroda
Bank of India
Bank of Maharashtra
Baroda Gujarat Gramin Bank
Baroda Rajasthan Kshetriya Gramin Bank
Baroda Uttar Pradesh Gramin Bank
Canara Bank
Capital Small Finance Bank Ltd
Central Bank of India
Chaitanya Godavari GB
Chhattisgarh Rajya Gramin Bank
City Union Bank Ltd
Coastal Local Area Bank Ltd
CSB Bank Limited
Dakshin Bihar Gramin Bank
DCB Bank Ltd
Dhanlaxmi Bank Ltd
Ellaquai Dehati Bank
Equitas Small Finance Bank Ltd
ESAF Small Finance Bank Ltd
Export-Import Bank of India
Federal Bank Ltd
Fincare Small Finance Bank Ltd
FINO Payments Bank Ltd
HDFC Bank Ltd
Himachal Pradesh Gramin Bank
ICICI Bank Ltd
IDBI Bank Limited
IDFC FIRST Bank Limited
India Post Payments Bank Ltd
Indian Bank
Indian Overseas Bank
IndusInd Bank Ltd
J&K Grameen Bank
Jammu & Kashmir Bank Ltd
Jana Small Finance Bank Ltd
Jharkhand Rajya Gramin Bank
Jio Payments Bank Ltd
Karnataka Bank Ltd
Karnataka Gramin Bank
Karnataka Vikas Gramin Bank
Karur Vysya Bank Ltd
Kashi Gomti Samyut Gramin Bank
Kerala Gramin Bank
Kotak Mahindra Bank Ltd
Krishna Bhima Samruddhi LAB Ltd
Lakshmi Vilas Bank Ltd
Madhya Pradesh Gramin Bank
Madhyanchal Gramin Bank
Maharashtra GB
Manipur Rural Bank
Meghalaya Rural Bank
Mizoram Rural Bank
Nagaland Rural Bank
Nainital bank Ltd
National Bank for Agriculture and Rural Development
National Housing Bank
North East Small finance Bank Ltd
NSDL Payments Bank Limited
Odisha Gramya Bank
Paschim Banga Gramin Bank
Paytm Payments Bank Ltd
Prathama U.P. Gramin Bank
Puduvai Bharathiar Grama Bank
Punjab & Sind Bank
Punjab Gramin Bank
Punjab National Bank
Purvanchal Bank
Rajasthan Marudhara Gramin Bank
RBL Bank Ltd
Saptagiri Grameena Bank
Sarva Haryana Gramin Bank
Saurashtra Gramin Bank
Small Industries Development Bank of India
South Indian Bank Ltd
State Bank of India
Subhadra Local Bank Ltd
Suryoday Small Finance Bank Ltd
Tamil Nadu Grama Bank
Tamilnad Mercantile Bank Ltd
Telengana Grameena Bank
Tripura Gramin Bank
UCO Bank
Ujjivan Small Finance Bank Ltd
Union Bank of India
Utkal Grameen Bank
Utkarsh Small Finance Bank Ltd
Uttar Bihar Gramin Bank
Uttarakhand Gramin Bank
UttarBanga Kshetriya Gramin Bank
Vidharbha Konkan Gramin Bank
YES Bank Ltd
